algorithm,inputType,n,timeNs,maxDepth,recalls
mergesort,Random,100,478800,6,63
quicksort,Random,100,409500,5,66
deterministicselect,Random,100,309400,7,21
mergesort,Sorted,100,29800,6,63
quicksort,Sorted,100,59500,5,64
deterministicselect,Sorted,100,34900,7,22
mergesort,Reverse,100,22500,6,63
quicksort,Reverse,100,41600,5,65
deterministicselect,Reverse,100,30100,6,20
mergesort,Duplicates,100,26300,6,63
quicksort,Duplicates,100,56900,4,91
deterministicselect,Duplicates,100,13100,3,3
closestpair,randomPoints,100,7013800,7,71
mergesort,Random,1000,361500,9,511
quicksort,Random,1000,121600,7,672
deterministicselect,Random,1000,264100,9,87
mergesort,Sorted,1000,42600,9,511
quicksort,Sorted,1000,70300,8,676
deterministicselect,Sorted,1000,82300,10,75
mergesort,Reverse,1000,50500,9,511
quicksort,Reverse,1000,70500,8,671
deterministicselect,Reverse,1000,109000,10,81
mergesort,Duplicates,1000,68500,9,511
quicksort,Duplicates,1000,248300,4,991
deterministicselect,Duplicates,1000,34100,5,5
closestpair,randomPoints,1000,3434800,10,975
mergesort,Random,10000,1140200,13,7711
quicksort,Random,10000,993200,9,6799
deterministicselect,Random,10000,590700,12,309
mergesort,Sorted,10000,995800,13,7711
quicksort,Sorted,10000,396200,9,6717
deterministicselect,Sorted,10000,342700,13,286
mergesort,Reverse,10000,243000,13,7711
quicksort,Reverse,10000,403600,10,6707
deterministicselect,Reverse,10000,423000,13,395
mergesort,Duplicates,10000,4579500,13,7711
quicksort,Duplicates,10000,7052000,4,9991
deterministicselect,Duplicates,10000,1212800,7,10
closestpair,randomPoints,10000,23917500,13,8191
